eredetiCim;magyarCim;bemutato;forgalmazo;bevel;latogato
Amityville: The Awakening;Amityville - Az ébredés;2017.08.24;InterCom;16506702;11824
Logan Lucky;Logan Lucky - A tuti balhé;2017.08.24;Vertigo;10652153;7313
American Made;Barry Seal: A beszállító;2017.08.31;UIP;65008678;45350
Inhumans;Inhumans;2017.08.31;Forum;1063865;619
It;Az;2017.09.07;InterCom;117242901;82129
Renegades;Renegátok;2017.09.07;Big Bang Media;13699105;9643
The Son of Bigfoot;Óriásláb fia;2017.09.07;Freeman;12161348;8891
Wind River;Gyilkos nyomon;2017.09.07;Vertigo;11087220;7482
The Beguiled;Csábítás;2017.09.07;UIP;10892698;7577
Home Again;Újra otthon;2017.09.14;Big Bang Media;24437596;17521
American Assassin;Amerikai bérgyilkos;2017.09.14;Freeman;18728962;13018
FANTASZTIKUS UTAZÁS ÓZ BIRODALMÁBA;FANTASTIC JOURNEY TO OZ;2017.09.14;ADS;1994857;1425
Open water - Cage dive;Nyílt tengeren: Cápák között;2017.09.14;ADS;876550;542
Bartók;Bartók;2017.09.14;FilmNet;560000;701
Kingsman: The Golden Circle;Kingsman: Az aranykör;2017.09.21;Forum;72685910;50857
The Lego Ninjago Movie;A Lego Ninjago film;2017.09.21;InterCom;30516436;22427
Victoria and Abdul;Viktória királynő és Abdul;2017.09.21;UIP;11248048;7781
47 Meters Down;47 méter mélyen;2017.09.21;Vertigo;6558680;4562
Hetedik alabárdos;Hetedik alabárdos;2017.09.21;Sky Film;1532525;1509
Willkommen bei den Hartmanns;Isten hozott Németországban!;2017.09.21;ADS;1043465;727
Ultra;Ultra;2017.09.21;MoziNet;938140;896
Flatliners;Egyenesen át;2017.09.28;InterCom;23082281;16527
Tulip Fever;Tulipánláz;2017.09.28;Forum;7839563;5710
The Only Living Boy in New York;New York-i afférok;2017.09.28;Cinetel;4183679;2761
Being Solomon;Salamon király kalandjai;2017.09.28;Vertigo;2875755;3611
Blade Runner 2049;Szárnyas fejvadász 2049;2017.10.05;InterCom;71475168;45080
Borg/McEnroe;Borg/McEnroe;2017.10.05;A Company;2889485;1940
The Snowman;Hóember;2017.10.12;UIP;44465890;31714
HhhH;HHhH - Himmler agyát Heydrichnek hívják;2017.10.12;Big Bang Media;14675340;10043
My Little Pony: The Movie;My Little Pony - A film;2017.10.12;Freeman;14456330;11259
Geostorm;Űrvihar;2017.10.19;InterCom;63663778;38833
Aurora Borealis - Északi Fény;Aurora Borealis - Északi Fény;2017.10.19;Vertigo;14587483;13082
Mother!;Anyám!;2017.10.19;UIP;10594327;7342
Why We're Killing Gunther;Nyírjuk ki Güntert;2017.10.19;Big Bang Media;10441525;6962
The Little Vampire;A kis vámpír;2017.10.19;ADS;8710899;6109
Vier gegen die Bank;Négyen a bank ellen;2017.10.19;ADS;2204860;1391
Jigsaw;Fűrész - Újra játékban;2017.10.26;Freeman;38906778;45801
Jungle;Dzsungel;2017.10.26;Pannonia;7955300;8125
Suburbicon;Suburbicon;2017.10.26;Cinetel;6111110;7359
Amant Double;Dupla szerető;2017.10.26;Vertigo;3534050;3824
Thor : Ragnarok;Thor : Ragnarök;2017.11.02;Forum;260498993;174521
Happy Family;Szörnyen boldog család;2017.11.02;Big Bang Media;28452812;20898
Budapest Noir;Budapest Noir;2017.11.02;Big Bang Media;25339084;18098
Happy Family;Szörnyen boldog család;2017.11.02;Big Bang Media;4601560;4595
Ég man big;Emlékszem rád;2017.11.02;Vertigo;4346410;3671
A Bad Moms Christmas;Rossz anyák karácsonya;2017.11.09;Freeman;90821375;65248
Murder on the Orient Express;Gyilkosság az Orient Expresszen;2017.11.09;Forum;58126246;42069
The Big Sick;Rögtönzött szerelem;2017.11.09;Vertigo;5409055;3765
Rodin;Rodin - Az alkotó;2017.11.09;ADS;881845;742
Justice League;Az igazság ligája;2017.11.16;InterCom;99407629;64596
Happy Death Day;Boldog halálnapot!;2017.11.16;UIP;42703945;30681
Madame;Madame;2017.11.16;ADS;5299845;3754
A Viszkis;A Viszkis;2017.11.23;InterCom;93373162;65773
Coco;Coco;2017.11.23;Forum;27866205;20635
Escape Room;Szabadulószoba;2017.11.23;Big Bang Media;10061590;6814
Seven Sisters;Hét nővér;2017.11.23;Vertigo;8539005;5783
Paddington 2;Paddington 2;2017.11.30;Freeman;12021002;9201
A Few Less Men;Harmadnaposok 2.;2017.11.30;Big Bang Media;9955225;6907
Santa Swap;Mikulás Karácsonyra;2017.11.30;ADS;3228065;2530
Daddy's Home 2;Megjött apuci 2;2017.12.07;UIP;69518077;50260
Wonder Wheel;Wonder Wheel - Az óriáskerék;2017.12.07;Cinetel;2870907;2065
Stratton;Stratton;2017.12.07;Cinetel;1740285;1085
Divine Order;A nőkért;2017.12.07;ADS;205760;172
The Vault;A széf;2017.12.07;ADS;13400;14
Star Wars : The Last Jedi;Star Wars : Az utolsó Jedik;2017.12.14;Forum;421994147;279513
Jumanji: Welcome to the Jungle;Jumanji - Vár a dzsungel;2017.12.21;InterCom;47992705;33092
Ferdinand;Ferdinánd;2017.12.21;Forum;27714225;21553
24 Hours to Live;24 óra a halálig;2017.12.21;Big Bang Media;2602655;1747
The Greatest Showman;A legnagyobb showman;2017.12.28;Forum;35446355;25870
Pitch Perfect 3;Tökéletes hang 3;2017.12.28;UIP;28440895;20373
The Killing of a Sacred Deer;Egy szent szarvas meggyilkolása;2017.12.28;Vertigo;13891700;9435
Leatherface;Bőrpofa;2017.12.28;Freeman;7339860;5153
Les Exes;Szex, ex, szerelem;2017.12.28;ADS;4444515;2721
Father Figures;Apavadászat;2018.01.04;InterCom;46123425;31825
Insidious: Chapter 4;Insidious – Az tolsó kulcs;2018.01.04;InterCom;37893860;26224
Molly's Game;Elit játszma;2018.01.04;Freeman;22711145;14958
Tadeo Jones 2: El secreto del Rey Midas;Tad, az utolsó felfedező;2018.01.04;UIP;13776847;10328
The Commuter;The Commuter – Nincs kiszállás;2018.01.11;Big Bang Media;44923075;29144
Downsizing;Kicsinyítés;2018.01.11;UIP;26150268;17627
GOODBYE CHRISTOPHER ROBIN;VISZLÁT, CHRISTOPHER ROBIN;2018.01.11;ADS;2038720;1421
Fortunata;Fortunata;2018.01.11;MoziNet;690980;556
Darkest Hour;A legsötétebb óra;2018.01.18;UIP;37888731;25685
Den of Thieves;Gengszterzsaruk;2018.01.18;Freeman;28289183;19128
THE FLORIDA PROJECT;FLORIDAI ÁLOM;2018.01.18;ADS;2760825;1962
Thelma;Thelma;2018.01.18;Vertigo;1328410;1042
Maze Runner: The Death Cure;Az útvesztő: Halálkúra;2018.01.25;Forum;61933355;40379
All the Money in the World;A világ összes pénze;2018.01.25;Freeman;26501210;17605
Three Billboards Outside Ebbing, Missouri;Három óriásplakát Ebbing határában;2018.01.25;Forum;14421385;9568
A hentes, a kurva és a félszemű;A hentes, a kurva és a félszemű;2018.01.25;Big Bang Media;9350300;6758
Phantom Thread;Fantomszál;2018.02.01;UIP;9986629;6622
I, Tonya;Én Tonya;2018.02.01;Vertigo;9444917;7187
Nelyubov;Szeretet nélkül;2018.02.01;MoziNet;861935;721
Fifty Shades Freed;A szabadság ötven árnyalata;2018.02.08;UIP;137570108;97971
Call Me by Your Name;Szólíts a neveden;2018.02.08;InterCom;6107045;4148
Valami Amerika 3;Valami Amerika 3;2018.02.15;Vertigo;148090624;101276
Black Panther;Fekete Párduc;2018.02.15;Forum;137912641;88530
Early Man;Ősember - Kicsi az ős, de hős!;2018.02.15;MoziNet;8391705;6405
Game Night;Éjszakai játék;2018.02.22;InterCom;42681535;28222
The Post;A Pentagon titkai;2018.02.22;Freeman;26911191;17984
The Shape of Water;A víz érintése;2018.02.22;Forum;11870085;7833
Incredible Story Of a Giant Pear;Hihetetlen történet az óriás körtéről;2018.02.22;ADS;3213360;2229
Red Sparrow;Vörös veréb;2018.03.01;Forum;58136990;38495
Lady Bird;Lady Bird;2018.03.01;UIP;9829298;6759
Momo;Derült égből család;2018.03.01;ADS;4245805;2830
Death Wish;Bosszúvágy;2018.03.08;Forum;27482460;19021
12 Strong;12 katona;2018.03.08;InterCom;17615169;11477
The Strangers: Prey at Night;Hívatlanok 2 - Éjjeli préda;2018.03.08;Freeman;9363720;6443
Vándorszínészek;Vándorszínészek;2018.03.08;Big Bang Media;5472865;3916
The Place;A hely;2018.03.08;Cinenuovo;4040700;3107
Peter Rabbit;Nyúl Péter;2018.03.15;InterCom;111551083;82566
Tomb Raider;Tomb Raider;2018.03.15;Forum;102711060;63322
Winchester;Szellemek háza;2018.03.15;Vertigo;19388970;12921
The 15:17 to Paris;A párizsi vonat;2018.03.15;InterCom;8878705;5602
Death of Stalin;Sztálin halála;2018.03.15;ADS;8779290;5825
Finding Your Feet;Táncterápia;2018.03.15;Cirko Film;3507240;2501
Jusqu'á la garde;Láthatás;2018.03.15;MoziNet;583140;509
Every Day;Nap nap után;2018.03.22;Forum;24227395;17893
Gringo;Gringo;2018.03.22;Freeman;12514853;8336
Gnomeo & Juliet: Sherlock Gnomes;Sherlock Gnomes;2018.03.22;UIP;10783655;7738
Ready Player One;Ready Player One;2018.03.29;InterCom;111263054;66676
Lajkó - Cigány az űrben;Lajkó - Cigány az űrben;2018.03.29;Vertigo;16153414;12323
Mary Magdalene;Mária Magdolna;2018.03.29;UIP;8679395;6130
Elias og Storegaps Hemmelighet / Anchors up;Éliás a kis mentőhajó;2018.03.29;ADS;1665655;1100
Pacific Rim: Uprising;Tűzgyűrű: Lázadás;2018.04.05;UIP;62758702;39710
Rampage;Rampage – Tombolás;2018.04.12;InterCom;48797404;29452
Genezis;Genezis;2018.04.12;Hungaricom;969557;1165
Midnight Sun;Éjjeli napfény;2018.04.19;Freeman;16465078;12520
Ghost Land;Ghost Land – A rettegés háta;2018.04.19;ADS;8070850;5315
Duck Duck Goose;Jönnek a kacsák;2018.04.19;Big Bang Media;6308355;4677
The Hurricane Heist;Hurrikán meló;2018.04.19;Big Bang Media;4427345;3091
Vad Balaton;Vad Balaton;2018.04.19;Pannonia;2400450;2007
